0.686884,0.353624,0.678694,0.322446,0.666645,0.294044,0.658349,0.271915,0.652658,0.250753,0.699442,0.265827,0.669415,0.232954,0.650176,0.223369,0.635705,0.219361,0.707040,0.272571,0.671627,0.233491,0.649920,0.230245,0.633927,0.229756,0.707200,0.284902,0.671399,0.252946,0.656955,0.259043,0.648038,0.263944,0.702633,0.299101,0.680683,0.276640,0.671015,0.278686,0.664032,0.282332,2
0.593613,0.216582,0.593213,0.191400,0.597525,0.165075,0.601404,0.150514,0.601425,0.144567,0.627161,0.118045,0.637680,0.102463,0.639695,0.111086,0.642482,0.114680,0.634601,0.115767,0.643233,0.107933,0.639357,0.117470,0.633260,0.122401,0.637284,0.125500,0.642177,0.123645,0.639276,0.132997,0.634027,0.142755,0.637474,0.142172,0.643519,0.132346,0.637910,0.139100,0.632259,0.150082,2
0.554817,0.577531,0.465138,0.531449,0.454087,0.443371,0.520182,0.333827,0.598919,0.283660,0.441848,0.274742,0.374142,0.131980,0.341019,0.082158,0.320178,0.073381,0.532116,0.256030,0.564828,0.102841,0.578397,0.075857,0.575634,0.096967,0.606929,0.290821,0.629696,0.283054,0.602987,0.371599,0.580655,0.415843,0.659656,0.360543,0.661535,0.401569,0.621614,0.465322,0.590891,0.479227,2
0.570364,0.623655,0.474971,0.592113,0.448267,0.514365,0.513744,0.422672,0.591108,0.375378,0.434705,0.297098,0.367682,0.163092,0.328851,0.111098,0.307273,0.104906,0.525172,0.265170,0.557066,0.115978,0.574556,0.107353,0.586048,0.139834,0.600504,0.289933,0.603355,0.296696,0.572355,0.395534,0.553987,0.442148,0.644464,0.353646,0.622055,0.410262,0.587246,0.492963,0.570241,0.516856,2
0.569811,0.652266,0.473986,0.620729,0.437375,0.540578,0.491047,0.448002,0.573497,0.400345,0.439223,0.322973,0.392186,0.187008,0.370783,0.135812,0.366533,0.133887,0.525342,0.294631,0.560508,0.138394,0.574493,0.131972,0.590512,0.158793,0.598569,0.315617,0.606282,0.308340,0.579321,0.426985,0.563544,0.487644,0.642636,0.381562,0.628236,0.421365,0.599693,0.507898,0.581983,0.536114,2
0.577952,0.636715,0.470567,0.606889,0.443854,0.528740,0.508822,0.427441,0.604632,0.376596,0.448431,0.307087,0.404239,0.189024,0.388613,0.132940,0.387063,0.127927,0.537229,0.286840,0.576592,0.138667,0.593138,0.127593,0.609151,0.166904,0.610987,0.313387,0.613056,0.330029,0.580231,0.443794,0.565263,0.494898,0.651588,0.383933,0.623393,0.428073,0.590859,0.516846,0.583222,0.547376,2
0.581829,0.654602,0.470745,0.613186,0.444279,0.523267,0.520525,0.426182,0.615858,0.386733,0.447895,0.314419,0.398308,0.203524,0.383047,0.148921,0.375584,0.147044,0.539212,0.285864,0.569272,0.144701,0.586547,0.137504,0.593957,0.188197,0.617575,0.310705,0.616614,0.325797,0.589983,0.436766,0.577608,0.491251,0.667384,0.383316,0.634608,0.425922,0.602462,0.510259,0.595464,0.543505,2
0.578359,0.646786,0.471456,0.614387,0.442841,0.524618,0.508679,0.412582,0.596782,0.363210,0.451936,0.315513,0.419539,0.204960,0.408782,0.146368,0.408135,0.135465,0.541021,0.289238,0.581931,0.152485,0.585400,0.163932,0.588047,0.218672,0.615039,0.311635,0.621767,0.316793,0.586451,0.432981,0.571719,0.491190,0.663243,0.381233,0.631230,0.417241,0.594181,0.502516,0.587161,0.534614,2
0.577446,0.637467,0.472466,0.592425,0.450162,0.503398,0.528787,0.413379,0.627374,0.376927,0.456178,0.288721,0.404502,0.195064,0.384268,0.140338,0.373433,0.127830,0.542540,0.268453,0.574924,0.132470,0.590656,0.123802,0.598162,0.160926,0.613810,0.299184,0.631249,0.298165,0.599390,0.416002,0.579621,0.472910,0.664658,0.377669,0.654475,0.398919,0.619061,0.491401,0.603285,0.528612,2
0.570142,0.638594,0.470347,0.584187,0.460391,0.507797,0.533968,0.413315,0.622007,0.359478,0.451482,0.320605,0.397570,0.223698,0.381678,0.169541,0.372102,0.146882,0.533357,0.307444,0.572823,0.179463,0.596779,0.188985,0.606627,0.225754,0.605207,0.335809,0.616091,0.338631,0.590507,0.436974,0.573483,0.481499,0.656037,0.408158,0.629517,0.435673,0.599756,0.515506,0.588018,0.542153,2
